sma_length,frequency,anchor,label,is_anchor_variant,cagr,sharpe,annualized_vol,max_drawdown,annual_turnover,avg_trade_cost_bps,total_cost_bps_annualized,n_rebalances,n_short_period_fallbacks
150,monthly,21.0,monthly_21,True,0.09819234005266453,0.43844586686154613,0.17176347088718774,0.5190469043404164,3.679383136266518,14.864653498542033,54.9063001859134,347,115
150,semi_monthly,,semi_monthly,False,0.09074117807165138,0.39745015372092835,0.17073291146570935,0.5343942340821187,5.318811804525821,14.84542921523904,79.31868316054292,695,0
175,daily,,daily,True,0.055261894930183075,0.1986646262039942,0.162980895917285,0.6656934665996959,17.56436913515017,14.855017863477492,262.37053537659324,7299,0
175,weekly,1.0,weekly_01,True,0.07505261283334308,0.3139148482123712,0.1661891973764354,0.5809405161740819,7.839832046199961,14.851878364846769,117.04802651261775,1514,0
175,weekly,2.0,weekly_02,True,0.08550810678826859,0.37469926853645574,0.16713336769642523,0.5095222854532294,7.198733364052025,14.848482449025145,107.35906667574065,1513,1
175,weekly,3.0,weekly_03,True,0.08456782689056785,0.37016305899195,0.16664134690848703,0.5152782857811379,7.1880748437928945,14.860106299110532,107.34348106397285,1513,2
175,weekly,4.0,weekly_04,True,0.0823600594783902,0.35655700667562673,0.1668083986584362,0.5744850697896569,7.302012406390849,14.858935633252804,109.1547985721678,1513,4
175,weekly,5.0,weekly_05,True,0.07251123233369094,0.2971809479613027,0.16699548376085555,0.6151873864253656,7.584637944439685,14.853074392056767,113.27814907824734,1513,263
175,monthly,1.0,monthly_01,True,0.08836256113250407,0.3828635575837589,0.17102490866813735,0.5817736027070898,3.2838387811704073,14.858479979072754,49.04808814211821,348,0
175,monthly,2.0,monthly_02,True,0.0900950784252883,0.3913822165346394,0.17172911650408662,0.5658060326575514,3.2361943949806413,14.887100738922022,48.41876104078626,348,0
175,monthly,3.0,monthly_03,True,0.09060646261084182,0.3943859144110034,0.1717178630671927,0.5312661586108389,3.242386587158146,14.875838142630986,48.510229070474004,348,0
175,monthly,4.0,monthly_04,True,0.08865728281202823,0.3827724329773324,0.17183558945463498,0.5384204593178055,3.264877257894364,14.867969460919282,48.82253456130781,348,0
175,monthly,5.0,monthly_05,True,0.08821236896981532,0.3792422402088911,0.17226196314378847,0.5292800643137932,3.294198439114149,14.879642549515525,49.26326541588251,348,0
175,monthly,6.0,monthly_06,True,0.08568287207162406,0.36799428873096085,0.1706535069438346,0.5225155101259444,3.383641710728278,14.913878073027616,50.68733933021357,348,0
175,monthly,7.0,monthly_07,True,0.09406845858458746,0.41860712307440767,0.17005229604645478,0.4522888108648523,3.2159651770673268,14.892652781905616,48.13006846810073,348,0
175,monthly,8.0,monthly_08,True,0.08789420253166735,0.3845147106799771,0.16907245564758341,0.5421935249982173,3.273957976379018,14.902533983776024,49.03038423591043,348,0
175,monthly,9.0,monthly_09,True,0.09059214772566238,0.3967145927959151,0.170673811326398,0.49132492962209373,3.388878838946338,14.875247735000722,50.674820882670446,348,0
175,monthly,10.0,monthly_10,True,0.09025455074573707,0.3970728285578923,0.16966961659410285,0.49367847545100485,3.425339697268865,14.881548221260699,51.24917618815801,348,0
175,monthly,11.0,monthly_11,True,0.0970129632346477,0.439088050807066,0.168826291068523,0.4601085634941392,3.3710862026818718,14.886835598093285,50.43436819549476,348,0
175,monthly,12.0,monthly_12,True,0.09462914330092698,0.4204545552843692,0.17063862487592518,0.49874822051520284,3.2910922413733834,14.874368443816115,49.219132518304896,348,0
175,monthly,13.0,monthly_13,True,0.09260665890749809,0.40712338518682367,0.1712584078439007,0.5282852622859676,3.326303650221035,14.864755492565637,49.70364603902272,348,0
